============================================================
QNM Convergence Report
============================================================
Date: 2026-02-14 12:18:06
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 447
  General (Re!=0, Im!=0): 60
  Purely imaginary (Re~0): 84
  Purely real (Im~0): 303

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
      1.4199355304269057e+00     -2.0820218585622563e-06
      1.4199363861008452e+00     -2.0409165822901300e-06
      1.4199372248214979e+00     -2.0009114131294999e-06
      1.4199380470316108e+00     -1.9619718605499438e-06
      1.4199388531595010e+00     -1.9240648930573178e-06
      1.4199396436196152e+00     -1.8871588834385138e-06
      1.4199404188130682e+00     -1.8512235578307303e-06
      1.4199411791281542e+00     -1.8162299484599263e-06
      1.4199419249408403e+00     -1.7821503498989493e-06
      1.4199426566152369e+00     -1.7489582786985317e-06
      1.4199433745040491e+00     -1.7166284362434481e-06
      1.4199440789490116e+00     -1.6851366746811494e-06
      1.4199447702813048e+00     -1.6544599657605567e-06
      1.4199454488219552e+00     -1.6245763724038648e-06
      1.4199461148822228e+00     -1.5954650228136730e-06
      1.4199467687639722e+00     -1.5671060868911228e-06
      1.4199474107600338e+00     -1.5394807547078626e-06
      1.4199480411545502e+00     -1.5125712167358282e-06
      1.4199486602233142e+00     -1.4863606454949211e-06
      1.4199492682340962e+00     -1.4608331782314866e-06
      1.4199498654469613e+00     -1.4359739001931299e-06
      1.4199504521145794e+00     -1.4117688280226359e-06
      1.4199510284825261e+00     -1.3882048927626649e-06
      1.4199515947895782e+00     -1.3652699219532978e-06
      1.4199521512679987e+00     -1.3429526203297330e-06
      1.4199526981438177e+00     -1.3212425487047855e-06
      1.4199532356371056e+00     -1.3001301007721347e-06
      1.4199537639622366e+00     -1.2796064778182396e-06
      1.4199542833281462e+00     -1.2596636617152941e-06
      1.4199547939385802e+00     -1.2402943871215360e-06
      1.4199552959923314e+00     -1.2214921145812389e-06
      1.4199557896834687e+00     -1.2032510072440203e-06
      1.4199562752015531e+00     -1.1855659152708865e-06
      1.4199567527318437e+00     -1.1684323737393538e-06
      1.4199572224554937e+00     -1.1518466221116619e-06
      1.4199576845497377e+00     -1.1358056562611847e-06
      1.4199581391880776e+00     -1.1203073279530282e-06
      1.4199585865404736e+00     -1.1053505120528043e-06
      1.4199590267735547e+00     -1.0909353694953956e-06
      1.4199594600508689e+00     -1.0770637458103894e-06
      1.4199598865332070e+00     -1.0637397637525161e-06
      1.4199603063790536e+00     -1.0509706999108114e-06
      1.4199607197452477e+00     -1.0387682899077484e-06
      1.4199611267880086e+00     -1.0271507069500413e-06
      1.4199615276645878e+00     -1.0161456513391717e-06
      1.4199619225360824e+00     -1.0057953830706667e-06
      1.4199623115725173e+00     -9.9616539944292522e-07
      1.4199626949627977e+00     -9.8736056865470942e-07
      1.4199630729364658e+00     -9.7955832523577186e-07
      1.4199634458193295e+00     -9.7308744444697297e-07
      1.4199638142153328e+00     -9.6866065390469538e-07
      1.4199641799472960e+00     -9.6839470295290525e-07
      1.4199804316345266e+00     -6.5420328721786479e-05
      1.4200000000100057e+00     -2.6857809408954904e-12
      1.4200000007927758e+00     -2.0746982738853531e-10
      1.4200000058651481e+00     -1.4649458908197640e-09
      1.4200000212518744e+00     -4.9906739959419430e-09
      1.4200000541098192e+00     -1.1842837457916839e-08
      1.4200001115858734e+00     -2.2675247445439455e-08
      1.4200002001815708e+00     -3.7751681773111648e-08
      1.4200003255467750e+00     -5.7068029190527804e-08
      1.4200004925188785e+00     -8.0474891914352664e-08
      1.4200007052625112e+00     -1.0776452279708386e-07
      1.4200009674301377e+00     -1.3872269870660786e-07
      1.4200010452164722e+00      2.1190891088361266e-07
      1.4200012823096539e+00     -1.7315604586388607e-07
      1.4200016529488610e+00     -2.1090454177451332e-07
      1.4200017411954202e+00      2.9666592407299064e-07
      1.4200020822568440e+00     -2.5184583477497908e-07
      1.4200025160159491e+00      3.7836672075205242e-07
      1.4200025730857457e+00     -2.9589538447460053e-07
      1.4200031282970560e+00     -3.4300467902287907e-07
      1.4200033837006754e+00      4.6060142688483028e-07
      1.4200037508161238e+00     -3.9315874279293221e-07
      1.4200043505341062e+00      5.4476820415616759e-07
      1.4200044436779298e+00     -4.4637355902295304e-07
      1.4200052100665108e+00     -5.0269371013859303e-07
      1.4200054214553943e+00      6.3168379310599145e-07
      1.4200060533498906e+00     -5.6219036751011923e-07
      1.4200066013669566e+00      7.2195399635184649e-07
      1.4200069771119515e+00     -6.2495967448264878e-07
      1.4200078955404949e+00      8.1610065770233511e-07
      1.4200079851823688e+00     -6.9112152350589369e-07
      1.4200090816654989e+00     -7.6081870899982655e-07
      1.4200093097848938e+00      9.1461634257178365e-07
      1.4200102709689397e+00     -8.3421643069980759e-07
      1.4200108505389086e+00      1.0179922408423565e-06
      1.4200115578323673e+00     -9.1150212138712820e-07
      1.4200125249394071e+00      1.1267347225379702e-06
      1.4200129473571554e+00     -9.9288557479401401e-07
      1.4200143408838128e+00      1.2413766977781016e-06
      1.4200144450372387e+00     -1.0785993523447510e-06
      1.4200160567916260e+00     -1.1688994504190398e-06
      1.4200163070946312e+00      1.3624865493803630e-06
      1.4200177889989609e+00     -1.2640662126705574e-06
      1.4200184331899499e+00      1.4906760165113555e-06
      1.4200196485344982e+00     -1.3644054745716449e-06
      1.4200207297622600e+00      1.6266077852150077e-06
      1.4200216428098793e+00     -1.4702499299299222e-06
      1.4200232084673707e+00      1.7710032466476704e-06
      1.4200237798160755e+00     -1.5819607118770183e-06
      1.4200258821250522e+00      1.9246507417475861e-06
      1.4200260681698997e+00     -1.6999291840331605e-06
      1.4200285171644880e+00     -1.8245789414261709e-06
      1.4200287648331027e+00      2.0884145467728403e-06
      1.4200311368241902e+00     -1.9563680253794974e-06
      1.4200318720967373e+00      2.2632448332149669e-06
      1.4200339379643308e+00     -2.0957913618517592e-06
      1.4200352209754592e+00      2.4501888412423860e-06
      1.4200369322563471e+00     -2.2433834381904920e-06
      1.4200388302499289e+00      2.6504035292534416e-06
      1.4200401322988525e+00     -2.3997212382254432e-06
      1.4200427206117712e+00      2.8651699983389711e-06
      1.4200435516952259e+00     -2.5654274591011609e-06
      1.4200469148797574e+00      3.0959100366463093e-06
      1.4200472051383894e+00     -2.7411740342200394e-06
      1.4200511085035035e+00     -2.9276859844107520e-06
      1.4200514382464293e+00      3.3442051838573277e-06
      1.4200552789493668e+00     -3.1257456139475158e-06
      1.4200563185599484e+00      3.6118187816880725e-06
      1.4200597350293953e+00     -3.3361970604311760e-06
      1.4200615866468740e+00      3.9007215571206505e-06
      1.4200644968131100e+00     -3.5599512001640938e-06
      1.4200672766826481e+00      4.2131213892633264e-06
      1.4200695860191459e+00     -3.7979909067130515e-06
      1.4200734266179134e+00      4.5514980495614282e-06
      1.4200750261608652e+00     -4.0513766627195885e-06
      1.4200800786704040e+00      4.9186438904758533e-06
      1.4200808427057456e+00     -4.3212525342514286e-06
      1.4200870632498095e+00     -4.6088525291969971e-06
      1.4200872798941351e+00      5.3177116986469492e-06
      1.4200937177084765e+00     -4.9155073669149189e-06
      1.4200950828400274e+00      5.7522712279539216e-06
      1.4201008385253415e+00     -5.2426516722420657e-06
      1.4201035463250777e+00      6.2263762844770762e-06
      1.4201084609004992e+00     -5.5918315619057637e-06
      1.4201127363308907e+00      6.7446446542677507e-06
      1.4201166230401059e+00     -5.9647125161731690e-06
      1.4201227270570549e+00      7.3123536773016624e-06
      1.4201253664288862e+00     -6.3630873446931838e-06
      1.4201336021607729e+00      7.9355549531537037e-06
      1.4201347361272179e+00     -6.7888840036231122e-06
      1.4201447810943095e+00     -7.2441730392528336e-06
      1.4201454562216802e+00      8.6212126317371900e-06
      1.4201555545388806e+00     -7.7311745138589549e-06
      1.4201583964802744e+00      9.3773711024722537e-06
      1.4201671142986956e+00     -8.2522643186551505e-06
      1.4201725449103590e+00      1.0213359670440417e-05
      1.4201795232502430e+00     -8.8099796291442006e-06
      1.4201880407012124e+00      1.1140043934608315e-05
      1.4201928497495211e+00     -9.4070227854945671e-06
      1.4202050432452504e+00      1.2170136109087033e-05
      1.4202071681039203e+00     -1.0046262198498561e-05
      1.4202225590733650e+00     -1.0730728437568981e-05
      1.4202237357537100e+00      1.3318579973479978e-05
      1.4202391103965153e+00     -1.1463603943696567e-05
      1.4202443296584231e+00      1.4603031559475328e-05
      1.4202569173357402e+00     -1.2248205629103024e-05
      1.4202670700041462e+00      1.6044464855804428e-05
      1.4202760832330186e+00     -1.3087959547627224e-05
      1.4202922420967050e+00      1.7667942161128478e-05
      1.4202967200660710e+00     -1.3986364128248375e-05
      1.4203189489861741e+00     -1.4946933909347241e-05
      1.4203201797554506e+00      1.9503600649474114e-05
      1.4203429008046697e+00     -1.5973114011171331e-05
      1.4203512756366388e+00      2.1587924313800478e-05
      1.4203687163792831e+00     -1.7068160320921306e-05
      1.4203859942576760e+00      2.3965402127281772e-05
      1.4203965468406350e+00     -1.8234984037586345e-05
      1.4204248885715440e+00      2.6690718741983709e-05
      1.4204265535838327e+00     -1.9475945980900092e-05
      1.4204589078994430e+00     -2.0792560259859759e-05
      1.4204686212546631e+00      2.9831675849464629e-05
      1.4204937900246453e+00     -2.2185067381414503e-05
      1.4205179923469884e+00      3.3473128219765151e-05
      1.4205313873048613e+00     -2.3651869014473379e-05
      1.4205718910563838e+00     -2.5188784888663320e-05
      1.4205739755585127e+00      3.7722380080380555e-05
      1.4206154914073750e+00     -2.6787968407144788e-05
      1.4206377665363761e+00      4.2716688622800542e-05
      1.4206623687099345e+00     -2.8436330300345990e-05
      1.4207108479615682e+00      4.8633850614164602e-05
      1.4207126790894067e+00     -3.0113490037104104e-05
      1.4207665293043346e+00     -3.1789259073846086e-05
      1.4207950786987829e+00      5.5707469996826804e-05
      1.4208239288686582e+00     -3.3422084320097480e-05
      1.4208846878108545e+00     -3.4971300658901463e-05
      1.4208928180010079e+00      6.4249380363350802e-05
      1.4209481809762436e+00     -3.6508458874915134e-05
      1.4210071019878727e+00      7.4683422558170451e-05
      1.4210130060139583e+00     -3.8897343396721957e-05
      1.4210782971676654e+00     -4.5427242227041699e-05
      1.4211418999753862e+00      8.7597664632077464e-05
      1.4211471190314053e+00     -5.9240666666237041e-05
      1.4212222246074993e+00     -7.9476229485428987e-05

------------------------------------------------------------
Purely Imaginary QNMs (Re ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)             Delta Im(omega)
  ──────────────────────────  ──────────────────────────  ──────────────────────────
      1.7564559184960708e-76     -1.9318104381962957e+01
      2.6867041918395623e-74     -2.0069191481298770e+01      7.5108709933581252e-01
      1.5060183003505679e-74     -2.0319457062461851e+01      2.5026558116308095e-01
     -1.6585103226909914e-73     -2.0569791856468729e+01      2.5033479400687852e-01
